,Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
38,Web developer,Naukripay,0.0,Entry,Web Development,Ghaziabad,Uttar Pradesh,India,LinkedLn
39,Software Development Engineer,Razorpay,2.5,Junior,Software Development,Bengaluru,Karnataka,India,LinkedLn
40,Software Engineer,Wipro,5.5,Mid-Level,Software Development,,,India,LinkedLn
41,Web Application Developer,Godrej Group,2.5,Junior,Software Development,Mumbai,Maharashtra,India,LinkedLn
42,Software Engineer,Indus Valley Partners,0.0,Entry,Other,Noida,Uttar Pradesh,India,LinkedLn
43,SDE-I (Full-stack Developer),Mindtickle,0.0,Entry,Software Development,Pune,Maharashtra,India,LinkedLn
44,Software Engineer,HCLTech,5.5,Mid-Level,Software Development,Bengaluru,Karnataka,India,LinkedLn
45,Web Developer,Sumago Infotech Pvt. Ltd.,0.0,Entry,Web Development,Nashik,Maharashtra,India,LinkedLn
46,Web Developer,Xerago,21.5,Executive,Web Development,Chennai,Tamil Nadu,India,LinkedLn
47,Software Engineer,Mastercard,2.5,Junior,Software Development,Pune,Maharashtra,India,LinkedLn
48,Software Engineer,Traveloka,0.0,Entry,Software Development,coimbatore,Tamil Nadu,India,LinkedLn
49,Software Engineer- 2,Microsoft,3.0,Junior,Software Development,Hyderabad,Telangana,India,LinkedLn
50,"Software Engineer, Machine Learning, Google Ads",Google,3.0,Junior,Artificial Intelligence / Machine Learning,Hyderabad,Telangana,India,LinkedLn
51,Software Engineer 2,Intuit,2.5,Junior,Software Development,Bengaluru,Karnataka,India,LinkedLn
52,Web Developer,livecristle,21.5,Executive,Other,Bengaluru,Karnataka,India,LinkedLn
53,SDE 1,Nymble,3.0,Junior,Other,Bengaluru,Karnataka,India,LinkedLn
54,Software Engineer,Infinite Computer Solutions,0.0,Entry,Software Development,Gurgaon,Haryana,India,LinkedLn
55,React Developer,Coforge,5.5,Mid-Level,Web Development,Pune,Maharashtra,India,LinkedLn
56,Associate Software Engineer,aeroqube inc.,2.5,Junior,Software Development,Noida,Uttar Pradesh,India,LinkedLn
57,Software Engineer,Microsoft,3.0,Junior,Software Development,Bengaluru,Karnataka,India,LinkedLn
58,"Software Engineer, AI Platform",LinkedIn,3.0,Junior,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
59,Software Development,Crunchy Fashion Private Limited,0.0,Entry,Software Development,Noida,Uttar Pradesh,India,LinkedLn
60,Software Engineer - Intern,Hypersonix Inc.,0.0,Entry,Software Development,Bengaluru,Karnataka,India,LinkedLn
61,Fresher Software Engineer,Willware Technologies,0.0,Entry,Software Development,,,India,LinkedLn
62,Web Developer,Acme Services,0.0,Entry,Web Development,Mumbai,Maharashtra,India,LinkedLn
63,"Software Engineer Intern, Frontend",Houseware,0.0,Entry,Web Development,Bengaluru,Karnataka,India,LinkedLn
64,Software Engineer I,Gilbarco Veeder-Root,0.0,Entry,Software Development,Mumbai,Maharashtra,India,LinkedLn
65,Web Developer,Tradenfill,2.5,Junior,Web Development,Delhi,Delhi,India,LinkedLn
66,Web DevelopeR - pune,"DC Consultants(India,USA,Australia,GCC)",0.0,Entry,Web Development,Pune,Maharashtra,India,LinkedLn
67,Java Developer,GVR BUSINESS TRANSFORMS,0.0,Entry,Software Development,Kochi,Kerala,India,LinkedLn
68,Web Developer,rankmantra,21.5,Executive,Web Development,Dehradun,Uttarakhand,India,LinkedLn
69,Web Developer,Ramyoz,0.0,Entry,Web Development,Noida,Uttar Pradesh,India,LinkedLn
70,web developer,Times And Trends Academy,5.5,Mid-Level,Other,Pune,Maharashtra,India,LinkedLn
71,Software Engineer,Microsoft,3.0,Junior,Software Development,Noida,Uttar Pradesh,India,LinkedLn
72,Web Developer,Tradenfill,2.5,Junior,Web Development,Delhi,Delhi,India,LinkedLn
73,Software Developer,Cytrion Software Solutions Pvt Ltd,0.0,Entry,Software Development,Hyderabad,Telangana,India,LinkedLn
74,Web Developer,Careernet,2.5,Junior,Web Development,Chennai,Tamil Nadu,India,LinkedLn
75,React JS Developer- Software Engineer,Hashone Careers,2.5,Junior,Web Development,Bengaluru,Karnataka,India,LinkedLn
76,Software engineer (Remote),InfiHire,2.5,Junior,Software Development,,,India,LinkedLn
77,Web Developer,Raga Designers,0.0,Entry,Web Development,Chennai,Tamil Nadu,India,LinkedLn
78,Software Engineer - UI,Turvo Inc.,3.0,Junior,Software Development,Hyderabad,Telangana,India,LinkedLn
79,Software Engineer Intern,Thena,0.0,Entry,Software Development,Bengaluru,Karnataka,India,LinkedLn
80,InsuranceDekho - Full Stack Software Development Engineer I - React.js/Node.js,InsuranceDekho,0.0,Entry,Web Development,Gurgaon,Haryana,India,LinkedLn
81,Software Development Engineer 1 - Frontend,YO HR Consultancy,21.5,Executive,Web Development,bengaluru,Karnataka,India,LinkedLn
82,SDE 1,Multi Recruit,5.5,Mid-Level,Other,Bengaluru,Karnataka,India,LinkedLn
83,Junior Full Stack Engineer,Cloud Counselage Pvt. Ltd.,0.0,Entry,Software Development,,,,LinkedLn
84,web developer,CIEL HR,0.0,Entry,Web Development,Gurgaon,Haryana,India,LinkedLn
85,Web Developer,Teqto Infotech,21.5,Executive,Web Development,Rajkot,Gujarat,India,LinkedLn
86,Full Stack Software Engineer,Flair Labs,0.0,Entry,Software Development,Mumbai,Maharashtra,India,LinkedLn
87,SDE 2 - Backend,Jar,3.0,Junior,Software Development,Bengaluru,Karnataka,India,LinkedLn
88,Software Development Engineer - II (Backend),Upstox,3.0,Junior,Software Development,Mumbai,Maharashtra,India,LinkedLn
89,Junior Web Developer,Mindsphere IT Solutions Pvt Ltd,21.5,Executive,Web Development,kolkata,West Bengal,India,LinkedLn
90,Web Developer (Front-End),Altorise,0.0,Entry,Web Development,Mumbai,Maharashtra,India,LinkedLn
91,Upstox - Software Development Engineer - II/III (Frontend),Upstox,5.5,Mid-Level,Web Development,Mumbai,Maharashtra,India,LinkedLn
92,React Developer,Quantified HR Private Limited,0.0,Entry,Web Development,Gurgaon,Haryana,India,LinkedLn
93,full Stack Developer,GM Infotech,0.0,Entry,Software Development,Mumbai,Maharashtra,India,LinkedLn
94,Software Engineer 2,Microsoft,3.0,Junior,Software Development,Hyderabad,Telangana,India,LinkedLn
95,Web Developer,CN Solutions,2.5,Junior,Web Development,Mumbai,Maharashtra,India,LinkedLn
96,Software Engineer - Frontend,Yugen.ai,0.0,Entry,Web Development,Bengaluru,Karnataka,India,LinkedLn
97,Junior Frontend Web Developer,BuildBear Labs,0.0,Entry,Web Development,Bengaluru,Karnataka,India,LinkedLn
98,Jr. Web Developer,Communication Crafts,0.0,Entry,Web Development,Ahmedabad,Gujarat,India,LinkedLn
99,Data Scientist I,Urban Company,6.5,Senior,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
100,Data Scientist (AI/ML),Tata Technologies,6.5,Senior,Other,Pune,Maharashtra,India,LinkedLn
101,Data Scientist- BLR HYD GGN,Genpact,6.5,Senior,Other,Bengaluru,Karnataka,India,LinkedLn
102,Data Scientist,LTIMindtree,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
103,Data Scientist,IQVIA,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
104,Data Science,Dimensions HRD Consultants,5.5,Mid-Level,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
105,Data Scientist,LTIMindtree,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
106,Data Scientist (People & HR Analytics),Endeavor,6.5,Senior,Other,Bengaluru,Karnataka,India,LinkedLn
107,Data Scientist,IndusInd Bank,6.5,Senior,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
108,Data Scientist,LTIMindtree,6.5,Senior,Data Science / Analytics,,,,LinkedLn
109,Data Scientist,Tech Mahindra,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
110,Data Scientist,LTIMindtree,21.5,Executive,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
111,Machine Learning Engineer,IndusInd Bank,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Gurgaon,Haryana,India,LinkedLn
112,Data Scientist (People & HR Analytics),Endeavor,6.5,Senior,Other,Gurgaon,Haryana,India,LinkedLn
113,Data Scientist,LTIMindtree,6.5,Senior,Data Science / Analytics,,,,LinkedLn
114,Data Scientist,LTIMindtree,6.5,Senior,Data Science / Analytics,Mumbai,Maharashtra,India,LinkedLn
115,Data Scientist,Spinny,6.5,Senior,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
116,Data Scientist,Fusemachines,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
117,Data Scientist,Infosys Finacle,6.5,Senior,Data Science / Analytics,Chennai,Tamil Nadu,India,LinkedLn
118,Data Scientist,Joveo,6.5,Senior,Data Science / Analytics,,,,LinkedLn
119,"Data Scientist, Research, Search",Google,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
120,Data Scientist,Tietoevry,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
121,Data Scientist - Image Processing,Philips,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
122,Data Scientist,SLB,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
123,AI/ML Developer,Nexus Hire,2.5,Junior,Artificial Intelligence / Machine Learning,,,India,LinkedLn
124,Machine Learning Engineer,YO HR Consultancy,2.5,Junior,Artificial Intelligence / Machine Learning,bengaluru,Karnataka,India,LinkedLn
125,AI ENGINEER,Nexus Hire,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Pune,Maharashtra,India,LinkedLn
126,AI and Machine Learning Engineer,Liangtuang Technologies,2.5,Junior,Artificial Intelligence / Machine Learning,delhi,Delhi,India,LinkedLn
127,Data Scientist,Plofold Technologies Pvt. Ltd.,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
128,Python developer,deployd.io,2.5,Junior,Software Development,Bengaluru,Karnataka,India,LinkedLn
129,Machine Learning Ops Engineer,Tamcherry - Zaportiv,0.0,Entry,Artificial Intelligence / Machine Learning,Mumbai,Maharashtra,India,LinkedLn
130,Machine Learning,Reach Skyline,0.0,Entry,Artificial Intelligence / Machine Learning,Chennai,Tamil Nadu,India,LinkedLn
131,Machine Learning Engineer - Python,Vizolt Tech Solutions Pvt Ltd,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
132,Machine Learning Engineer,H2O.ai,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
133,Lead Data Scientist,Epsilon India,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
134,"Data Scientists (All levels), Analytical Chemistry",Braintrust,6.5,Senior,Data Science / Analytics,,,India,LinkedLn
135,Data Scientist,Sanofi,6.5,Senior,Other,Hyderabad,Telangana,India,LinkedLn
136,Machine Learning Engineer (Python / NLP),MeetRecord,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
137,MACHINE LEARNING AI PLATFORM ENGINEER,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",0.0,Entry,Artificial Intelligence / Machine Learning,,,,LinkedLn
138,Python Developer,Fusion Plus Solutions Inc,0.0,Entry,Software Development,Hyderabad,Telangana,India,LinkedLn
139,Senior Data Scientist,InfoVision Inc.,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
140,Data Scientist,66degrees,6.5,Senior,Data Science / Analytics,,,,LinkedLn
141,Machine Learning Engineer,56 Secure,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
142,Applied Scientist,Microsoft,6.5,Senior,Other,Hyderabad,Telangana,India,LinkedLn
143,AI/ML Engineer,K-RY Tech Advisory,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Indore,Madhya Pradesh,India,LinkedLn
144,Lead Data Scientist,Piramal Capital & Housing Finance Limited,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
145,Senior Machine Learning Engineer,VerSe Innovation,5.5,Mid-Level,Artificial Intelligence / Machine Learning,,,,LinkedLn
146,Machine Learning Engineer - Python/SQL,Infiniti Research Ltd.,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
147,"Software Engineer - NLP, Machine Learning",Forsta,5.5,Mid-Level,Artificial Intelligence / Machine Learning,,,,LinkedLn
148,Data Scientist - II,YO HR Consultancy,6.5,Senior,Data Science / Analytics,bengaluru,Karnataka,India,LinkedLn
149,Data Scientist,IBM,6.5,Senior,Other,bengaluru,Karnataka,India,LinkedLn
150,Data Scientist,Optimum Data Analytics,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
151,Data Scientist,Ental,6.5,Senior,Data Science / Analytics,,,India,LinkedLn
152,Deep Learning Engineer,Inferigence Quotient,0.0,Entry,Software Development,Bengaluru,Karnataka,India,LinkedLn
153,Data Scientists with career break-Woman,Her Second Innings,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
154,Data Scientist,10times,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
155,Lead Data Scientist,"iitjobs, Inc.",21.5,Executive,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
156,Data Scientist,Talent Socio(We're Hiring!!),6.5,Senior,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
157,Data Scientists with career break-Woman,Her Second Innings,6.5,Senior,Data Science / Analytics,Mumbai,Maharashtra,India,LinkedLn
158,Machine Learning Engineer,TAC Security,0.0,Entry,Artificial Intelligence / Machine Learning,Mumbai,Maharashtra,India,LinkedLn
159,Python Development,Jarvics Technologies,0.0,Entry,Other,Saharanpur,Uttar Pradesh,India,LinkedLn
160,Price and Promo- Data Scientist,PepsiCo,6.5,Senior,Other,,,,LinkedLn
161,Data Scientist - Kochi,RipplesIndia Group,6.5,Senior,Other,Kochi,Kerala,India,LinkedLn
162,Lead Data Scientist,Artivatic.ai,6.5,Senior,Data Science / Analytics,Indore,Madhya Pradesh,India,LinkedLn
163,Data Scientists with career break-Woman,Her Second Innings,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
164,Applied Data Scientist - 2,Microsoft,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
165,Python &amp; Machine Learning Engineer - Pandas/Numpy,THire Global Services,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
166,Data Scientist,IBM,6.5,Senior,Other,bengaluru,Karnataka,India,LinkedLn
167,Machine Learning Engineer,Hunt&Badge Consulting Pvt Ltd (A Hudson RPO Company),5.5,Mid-Level,Artificial Intelligence / Machine Learning,bengaluru,Karnataka,India,LinkedLn
168,Data Scientist,Vardhman Tube Mills,6.5,Senior,Data Science / Analytics,Mumbai,Maharashtra,India,LinkedLn
169,Data Scientist,Tata Consultancy Services,6.5,Senior,Other,Hyderabad,Telangana,India,LinkedLn
170,Machine Learning Engineer,UprightHC Solutions Private Limited,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
171,Data Scientist,UST,6.5,Senior,Data Science / Analytics,bengaluru,Karnataka,India,LinkedLn
172,Data Scientist,HCapital Technologies Private Limited,6.5,Senior,Data Science / Analytics,,,,LinkedLn
173,Data Scientist,Yum! Digital & Tech India,6.5,Senior,Other,Gurgaon,Haryana,India,LinkedLn
174,Junior ML Engineer,Qween Network LLP,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
175,AI Safety Data Scientist,Google,6.5,Senior,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
176,Data Scientist,Quantzig,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
177,Datascientist,Teralanx Solutions,6.5,Senior,Data Science / Analytics,Chennai,Tamil Nadu,India,LinkedLn
178,AI/ML consultants_GCP Build,Capgemini,3.0,Junior,Artificial Intelligence / Machine Learning,Mumbai,Maharashtra,India,LinkedLn
179,Machine Learning,MindMap Consulting,0.0,Entry,Artificial Intelligence / Machine Learning,Noida,Uttar Pradesh,India,LinkedLn
180,Data Scientist,Quantzig,21.5,Executive,Data Science / Analytics,,,,LinkedLn
181,Data Scientist,InnoWave,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
182,Data Scientist,Quantzig,6.5,Senior,Data Science / Analytics,bengaluru,Karnataka,India,LinkedLn
183,Immediate opening for Data Scientist- Delhi (Hybrid),HTC Global Services,6.5,Senior,Data Science / Analytics,Delhi,Delhi,India,LinkedLn
184,Machine Learning Engineer - MLOps,Quantiphi,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
185,Data Scientist,QuinStreet,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
186,Senior Machine Learning Engineer,Infosys,5.5,Mid-Level,Artificial Intelligence / Machine Learning,,,,LinkedLn
187,Lead Data Scientist,Freshworks,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
188,"Senior Software Engineer, Machine Learning",LinkedIn,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
189,Machine Learning Engineer,Quantzig,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
190,AI Safety Data Scientist,Google,6.5,Senior,Artificial Intelligence / Machine Learning,Hyderabad,Telangana,India,LinkedLn
191,"Product Data Scientist, Security",Google,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
192,Data Scientist,Tata Consultancy Services,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
193,ML Engineer,Typeface,0.0,Entry,Artificial Intelligence / Machine Learning,Hyderabad,Telangana,India,LinkedLn
194,Data Scientist,True Tech Professionals,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
195,Data Scientist,Acuity Knowledge Partners,6.5,Senior,Data Science / Analytics,Gurgaon,Haryana,India,LinkedLn
196,Data Scientist,Creative Synergies Group,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
197,Data Scientist,TASConnect,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
198,Python Developer,Coforge,0.0,Entry,Other,Hyderabad,Telangana,India,LinkedLn
199,Senior Data Scientist,Simpl,6.5,Senior,Other,Bengaluru,Karnataka,India,LinkedLn
200,Data Scientist,Tata Consultancy Services,6.5,Senior,Data Science / Analytics,Hyderabad,Telangana,India,LinkedLn
201,Data Scientist,A.P. Moller - Maersk,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,LinkedLn
202,Machine Learning Engineer,NAKAD,3.0,Junior,Artificial Intelligence / Machine Learning,Gurgaon,Haryana,India,LinkedLn
203,Data Scientist,Virtusa,6.5,Senior,Data Science / Analytics,,,,LinkedLn
204,Data Scientist - 3,Navi,6.5,Senior,Data Science / Analytics,,,,LinkedLn
205,Machine learning developer,NuStar Technologies,5.5,Mid-Level,Artificial Intelligence / Machine Learning,Hyderabad,Telangana,India,LinkedLn
206,Sr. Data Scientist – IoT data & Satellite Analytics,Carnot Technologies,6.5,Senior,Data Science / Analytics,Mumbai,Maharashtra,India,LinkedLn
207,Data Scientist,Equifax,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
208,Data Scientist - Product,Confluent,6.5,Senior,Data Science / Analytics,,,India,LinkedLn
209,ML Engineer,Applied Graphics Technologies,5.5,Mid-Level,Artificial Intelligence / Machine Learning,,,,LinkedLn
210,Data Scientist,Quantzig,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
211,Machine Learning Engineer,Cotocus,0.0,Entry,Artificial Intelligence / Machine Learning,Bengaluru,Karnataka,India,LinkedLn
212,Data Scientist,News Corp,6.5,Senior,Data Science / Analytics,Bengaluru,Karnataka,India,LinkedLn
213,Data Scientist,DATAECONOMY,6.5,Senior,Data Science / Analytics,,,,LinkedLn
214,Data Scientist,Tata Consultancy Services,6.5,Senior,Data Science / Analytics,Hyderabad,Telangana,India,LinkedLn
215,Data Science Specialist,Conneqt Digital,6.5,Senior,Data Science / Analytics,bengaluru,Karnataka,India,LinkedLn
216,Area Sales Executive,Britannia Industries Limited,21.5,Executive,Other,,,,LinkedLn
217,Area Sales Executive,Britannia Industries Limited,21.5,Executive,Other,,,,LinkedLn
218,Sr. Sales Executive,Flipkart,21.5,Executive,Other,Bengaluru,Karnataka,India,LinkedLn
219,Area Sales Executive,Britannia Industries Limited,21.5,Executive,Other,Muzaffarpur,Bihar,India,LinkedLn
220,Area Sales Executive,Britannia Industries Limited,21.5,Executive,Other,,,,LinkedLn
221,Area Sales Executive,AB InBev GCC India,21.5,Executive,Other,Bengaluru,Karnataka,India,LinkedLn
222,Account Executive - SMB,LinkedIn,21.5,Executive,Other,Bengaluru,Karnataka,India,LinkedLn
223,Relationship Manager | Field Sales and Servicing | B2B Sales,Tata Cummins,8.0,Senior,Other,Delhi,Delhi,India,LinkedLn
224,Sales Manager I,Swiggy,8.0,Senior,Buisness Analytics,,,,LinkedLn
225,Retails Sales Executive,GIVA,21.5,Executive,Other,Lucknow,Uttar Pradesh,India,LinkedLn
226,Counter Sales Executive,ORRA Fine Jewellery,21.5,Executive,Other,Surat,Gujarat,India,LinkedLn
227,Relationship Manager | Field Sales and Servicing | B2B Sales,Tata Cummins,8.0,Senior,Other,Agra,Uttar Pradesh,India,LinkedLn
228,Retail Sales Executive,GIVA,21.5,Executive,Other,Bengaluru,Karnataka,India,LinkedLn
229,Sales Executive,Christian Louboutin,21.5,Executive,Other,Mumbai,Maharashtra,India,LinkedLn
230,Relationship Manager | Field Sales and Servicing | B2B Sales,Tata Cummins,8.0,Senior,Other,Surat,Gujarat,India,LinkedLn
231,Franchisee Sales Executive,Tata Communications,21.5,Executive,Other,Chandigarh,Chandigarh,India,LinkedLn
232,Area Sales Manager-Goa (QR Sales),Paytm,8.0,Senior,Buisness Analytics,,,,LinkedLn
233,Key Account Manager- Jaipur (QR Sales),Paytm,8.0,Senior,Buisness Analytics,Jaipur,Rajasthan,India,LinkedLn
234,Key Account Manager : Pune (QR Sales ),Paytm,8.0,Senior,Buisness Analytics,Pune,Maharashtra,India,LinkedLn
235,Associate Sales Manager,Swiggy,8.0,Senior,Buisness Analytics,,,,LinkedLn
236,CSD Area Sales Manager,Bacardi,8.0,Senior,Other,Mumbai,Maharashtra,India,LinkedLn
237,Assistant Manager - Channel Sales,Welspun World,8.0,Senior,Other,Gurgaon,Haryana,India,LinkedLn
238,Sales Manager II,Swiggy,8.0,Senior,Buisness Analytics,Kolkata,West Bengal,India,LinkedLn
239,Assistant Manager - Channel Sales,Welspun World,8.0,Senior,Other,Mumbai,Maharashtra,India,LinkedLn
240,Deputy Area Sales Manager Goa,Ferrero,8.0,Senior,Other,,,,LinkedLn
241,Assistant Manager | Field Sales and Servicing | B2B Sales,Tata Cummins,8.0,Senior,Other,Delhi,Delhi,India,LinkedLn
