Job Title,Company,Rating,Reviews,Experience,Salary,Location,Description,Skills,Posted Date
Principal Technical Account Representative (TAM) - SAAS,Oracle,3.7,5203,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Work in rotation Shifts . Strong organization skills, detail oriented & communication s...",TAMERPPMPProject managementArtificial IntelligenceIncident managementOracleSCM,6 Days Ago
S&C GN - Strategy - MC - Industry X - Capital Projects - Manager,Accenture,3.8,56065,10-16 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Experience: 10- 16 years of experience. Educational Qualification: Engineering Degree (...,PrimaveraPERT MasterPMPPower BIEcosysTableauQlikViewPrism,1 Day Ago
S&CGN - Tech Strategy & Advisory - Data on Cloud - Manager,Accenture,3.8,56065,10-15 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Utilize . strong expertise & certification in any of the AI & Gen AI Cloud platforms - ...,Technology StrategyAzureNLPGenerative AIGen AI strategyTechnology AdvisoryMachine LearningAWS,1 Day Ago
S&C Global Network- Strategy- Production & Operations Consultant,Accenture,3.8,56065,5-10 Yrs,Not disclosed,"Mumbai, New Delhi, Pune",S&C Global Network- Strategy- MC- Industry X- Production & Operations ConsultantRequire...,S4 HANALIMSSAP ECCECCSAP PPSAP BTPSAP DMCSAP Leonardo,1 Day Ago
SS&C Global Network - Strategy - MC - Industry X Smart Connected,Accenture,3.8,56065,12-16 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",B.Tech/BE with 12+ years of experience in SAP MM/MDG/PPM/PS implementation|Oversee SAP ...,SAPproject managementclient deliveryprogram managementbusiness analysisbusiness developmentppmsap presales,6 Days Ago
GN - Industry Utilities- Water Solution Architect,Accenture,3.8,56065,10-16 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",7-10 years of experience in water architecture with expertise in water domains like SCA...,presentation skillsworkforce managementwaternetwork managementstakeholder managementarchitectural designemerging technologiesasset management,1 Day Ago
GN-Industrial- Traffic Management - Industrial,Accenture,3.8,56065,1-6 Yrs,Not disclosed,"Mumbai, Pune, Chennai",MBA from a Tier 1 or Tier 2 school or extensive industry experience in railway logistic...,Traffic ManagementPMPKanbanProject Managementtransport managementScrumlogistics consultingPrince2,6 Days Ago
GN - SONG - C&S - Japan Bilingual - Manager,Accenture,3.8,56065,2-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Master of Business Administration / Post Graduate Diploma in Management Language Requir...,salesmarketingAdobe campaignAmazon ConnectBilingual managementGenesysAdobe Experience Clouddata visualization,1 Day Ago
GN- Comms & Media - Media - Consultant,Accenture,3.8,56065,1-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Certification profession in PSM / CSM/SAFe / ICP-ACCExperience in the role of Functiona...,JIRA Confluenceprogram managementProcess ImprovementBusiness AnalysisStakeholder ManagementAnalysisProcessManagement,1 Day Ago
GN - SC&O - S&P - CLM - Consultant,Accenture,3.8,56065,1-5 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA from Tier-1 B Schools or BE/BTech from Tier-1 engineering institutes with 1+ years ...,sourcingProcurement AnalystIVALUAAribaCoupaZycusSConsulting,1 Day Ago
GN- Software & Platforms - Platforms Strategist - Consultant,Accenture,3.8,56065,1-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA from Tier-I business school with experience in B2B customer onboarding and consulti...,software consultingmanagement consultingjavasparkdoec#cssasp.net mvc,1 Day Ago
GN - SONG - Service - Google CCAI - Manager,Accenture,3.8,56065,13-16 Yrs,Not disclosed,"Mumbai, Gurugram, Chennai","13+ years of experience with Google CCAI solutions, strong analytical skills, and proje...",project managementcost reductionrevenue enhancementConflict Managementagile deliverycost estimationEstimationService management,1 Day Ago
S&C GN CFO&EV -TAX - Consultant,Accenture,3.8,56065,2-7 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","7 years of work experience preferably in financial areas order to cash, source to pay, ...",presentation skillsvatpower bigsttaxationtdsproject managementaccounts payable,1 Day Ago
GN - SONG - MT - Content Management - Senior Manager,Accenture,3.8,56065,12-16 Yrs,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru",MBA from a tier 1 institute with 12+ years of experience in content management systems ...,Content ManagementContent strategyweb content managementdigital asset managementConfluenceAEMJIRAAsset,1 Day Ago
GN - SONG - C&S - Pricing - Consultant,Accenture,3.8,56065,7-10 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",A minimum of 7 years of progressive industry and / or consulting experience in the Prod...,advanced analyticsmacroscpqpricing analyticspricingsapdata analyticsdata analysis,1 Day Ago
GN-Banking - Payments - Manager,Accenture,3.8,56065,4-9 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","Experience in design, development, and implementation of Card Management solutions such...",management consultingpresentation skillsfinancial servicesagilebanking managementproject managementproject implementationprocess improvement,1 Day Ago
Oracle Fusion SCM Functional Lead,Oracle,3.7,5203,8-13 Yrs,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,Fusion ScmScm CloudMFGOrder To CashPlanningOMOrder fulfillmentCloud,1 Day Ago
S&C Global Network - Strategy-MC- Digital Engineering R&D - Consultant,Accenture,3.8,56065,3-7 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA from Tier-1/Tier-2 business school or BE/B.Tech from premier institute with 3+ year...,Digital EngineeringCATIAPLMDELMIAFunctional SolutioningENOVIA3DEXPERIENCEMaster Data Management,1 Day Ago
S&CGN - Tech Strategy & Advisory - Tech M&A Consultant,Accenture,3.8,56065,14-20 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA from a tier 1 institute with 14-20 years of experience in Strategy Consulting and A...,Technology StrategyGen AIOpen AICo-PilotStrategy ConsultingAzure AIAI transformationMicrosoft Azure,1 Day Ago
GN - Strategy - MC - CFO EV Finance Operations - Manager,Accenture,3.8,56065,8-12 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",MBA (Finance) or CA with 8-12 years of experience in Finance Operations Transformation ...,financial operationsfarmingbusiness serviceschange managementbusiness caseproject managementsolution designbusiness process improvement,1 Day Ago
GN - Strategy - MC - CFO EV Enabling Technologies - Manager,Accenture,3.8,56065,8-10 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","Postgraduate (M.B.A from premier B School), C.A. or C.P.A with 8-10 years of experience...",sapaccountingcelonisfinancefinancial transformationaccounts receivableaccounts payableoracle,1 Day Ago
GN - SONG - Service - Microsoft CRM - Senior Manager,Accenture,3.8,56065,13-18 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Use prior experience with MS Dynamics 365 CRM configuration :Apply thorough knowledge &...,CRM solutionCRM architectureCustomer ServiceProcess OptimizationSolution DesignCRM configurationServicingSinging,1 Day Ago
GN-Capital Markets-Consultant,Accenture,3.8,56065,11-14 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","GTM Strategy, Market Entry Strategy, Operating Model Strategy, Process Transformation &...",project managementdata managementcapital marketavaloqwealth managementtradingpythondue diligence,1 Day Ago
S&C Global Network - Strategy - MC - Industry X - Production,Accenture,3.8,56065,5-7 Yrs,Not disclosed,"Mumbai, New Delhi, Bengaluru",5+ years of experience in SAP PP PPDS with domain knowledge in Lifesciences or Consumer...,apooperations planningeccsalessap s hanacontract manufacturingstock planningsap,1 Day Ago
S&CGN - Tech Strategy & Advisory -Platform Strategy - Sr. Manager,Accenture,3.8,56065,10-15 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Master's or bachelor's degree in business or related field with 10-15 years of experien...,Technology StrategyEnterprise Architectureomnichannel retailingeCommerceMagentoBusiness TransformationShopifySalesforce,1 Day Ago
GN - Strategy - MC - SC&O - SC Digital Core Oracle- Manager,Accenture,3.8,56065,8-12 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru","MBA or Master's in Industrial Engineering, Operations Management, or Supply Chain Manag...",Supply Chain ManagementSAPConfigurationSAP APOJDAtestingUATJDE,1 Day Ago
"Risk, Risk Testing Group, Analyst/Associate,",Goldman Sachs,3.5,1208,1-4 Yrs,Not disclosed,Mumbai,Goldman Sachs is an equal employment / affirmative action employer Female / Minority / ...,Operational riskDiversity and Inclusionliquidity riskHTMLInvestment bankingInvestment managementTraining and DevelopmentRisk management,1 Day Ago
Application Support Engineer,Oracle,3.7,5203,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Familiarity with database technologies, such as SQL or NoSQL, as well as experience wit...",oraclesoftware testingnagiosconfigurationapplication monitoringnosqlsqlplsql,1 Day Ago
GN SC&O - S&P PT Spend Transformation Senior Manager,Accenture,3.8,56065,1-5 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",Experience in a consulting firm and global exposure is desirableGet involved in supply ...,ERPSAPGEPdata analyticsdata interpretationprocurementIVALUAJaggaer,1 Day Ago
S&C GN CFO&EV -TAX - Consultant,Accenture,3.8,56065,2-7 Yrs,Not disclosed,Mumbai,"7 years of work experience preferably in financial areas order to cash, source to pay, ...",presentation skillsvatpower bigsttaxationtdsproject managementaccounts payable,1 Day Ago
Tax Senior,WPP,3.0,175,3-7 Yrs,Not disclosed,Mumbai,Bachelor s degree from an accredited college / university in Accounting or TaxationExpe...,Income taxBloombergAccountingDiversity and InclusionManager TechnologyTax reportingTaxationMS Office,1 Day Ago
GN - Strategy - MC - CFO EV Risk and Compliance - RC Consultant,Accenture,3.8,56065,4-7 Yrs,Not disclosed,Mumbai,MBA from Tier-1 B-schools with specialization in risk management and 4-7 years of risk ...,risk managementregulatorypresentation skillsbusiness acumenmarket risk managementrisk complianceproject managementbloomberg,1 Day Ago
Lead Account Solution Engineer - Public Sector,Salesforce,4.0,851,8-13 Yrs,Not disclosed,Mumbai,Required Skills: . Degree or equivalent relevant experience requiredThe successful appl...,Cloud computingSalesBusiness analysisPresalesBusiness solutionsCustomer engagementBusiness caseCRM,1 Day Ago
ANALYST,Atos,3.9,4005,5-9 Yrs,Not disclosed,"Mumbai, Navi Mumbai",Role - Senior Software Developer - Enovia/3DExperience Total Experience - ...,PLMsoftware architectureAutomationArchitectureProduct life cycle managementPackagingSoftware development life cycleInformation technology,1 Day Ago
S&C Global Network - Strategy - MC - Industry X - Production,Accenture,3.8,56065,15-20 Yrs,Not disclosed,"Mumbai, New Delhi, Gurugram",S&C Global Network - Strategy - MC - Industry X - Production & Operation -7Qualificatio...,Production PlanningS/4HANAECCQM Master dataQM ConfigurationsProductionSX,1 Day Ago
"Sr. Application Architect, Professional Services",Amazon,4.1,25077,7-11 Yrs,Not disclosed,Mumbai,Professional Services engage in a wide variety of projects for internal customers and p...,Computer scienceCloud computingAutomationApplication programmingConsultingAgileApplication developmentTroubleshooting,1 Day Ago
GN - SONG - MT - Marketing Automation - Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",The Strategy Consulting Global Network Song Practice | Marketing Transformation | Digit...,Marketing AutomationAdobe campaignAdobe Journey OptimizerE-CommerceDigital MarketingJiraMarketoAdobe Experience Platform,1 Day Ago
GN-Comms & Media -Mobile Private Networks Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,Networks Managementclients business strategyCloudbusiness developmentRANsalesNetworkingManagement,1 Day Ago
S&C-GN - E2E Delivery Lead - Platforms (SAP)_CL6,Accenture,3.8,56065,10-20 Yrs,Not disclosed,Mumbai,"S&C GN SAP Platform – Manager, Senior ManagerFind endless opportunities to solve our cl...",presentation skillsaccountingsalessap platformsap s hanageneral ledger accountingsapsupply chain,1 Day Ago
GN - Strategy - MC - CFO EV ERP Platforms -Senior Manager,Accenture,3.8,56065,4-8 Yrs,Not disclosed,Mumbai,The Strategy & Consulting Global Network | CFO & Enterprise Value Practice| Platforms C...,gtmproposal writingfusionoracle administrationfinancemanagement consultingproject managementoracle,1 Day Ago
Senior Solution Engineer - Retail & Consumer Goods,Salesforce,4.0,851,7-12 Yrs,Not disclosed,Mumbai,Continuous Growth: Engage in ongoing training and certification programs to expand and ...,Cloud computingSalesBusiness analysisBusiness solutionsCustomer engagementconsumer goodsBusiness casedigital transformation,1 Day Ago
GN - A&D - SAP - Consultant,Accenture,3.8,56065,6-11 Yrs,Not disclosed,"Mumbai, Chennai, Gurugram",SAP S4 HANA Platforms- Aerospace & DefenceFind endless opportunities to solve our clien...,project managementsappresentation skillsverticalewmsap sdsap implementationsap support,1 Day Ago
S&C GN CFO&EV - ERP Platforms Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,Mumbai,"MBA from a Tier-1 or Tier-2 B-school, CA or CPA; 10+ years in SAP S/4 HANA design to im...",gtmsappresalessap s hanafinanceficoerpproject management,1 Day Ago
GN - SONG - C&S - CLM - Manager,Accenture,3.8,56065,5-10 Yrs,Not disclosed,Mumbai,"Experience and certification in one of the following CLM tools - Conga, Icertis, DocuSi...",project managementcpresentation skillssales strategysalesmanagement consultingregulatorycustomer engagement,1 Day Ago
S&C GN - Tech Strategy & Advisory Cloud Architect Consultant,Accenture,3.8,56065,6-11 Yrs,Not disclosed,Mumbai,"Bachelor s Degree BE / BTech/Equivalent SAP CertificationLocation: Gurgaon, Mumbai, Ban...",strategy consultingsap mdmsapmdgmdmadobe formssap sdmaster data management,1 Day Ago
GN - SONG - MT - MarTech - Senior Manager,Accenture,3.8,56065,12-15 Yrs,Not disclosed,"Mumbai, New Delhi, Chennai","MBA from a tier 1 institute with a degree in marketing, economics Deliver and execute o...",Marketing Transformationclient relationship managementoperating modelmarketingvendor assessmentMarketing processesAdvertisingresearch,1 Day Ago
"Data Associate I (Spanish), ML Data Ops",Amazon,4.1,25077,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Familiarity with online retail (e-commerce) Graduate or equivalent Passion for deliveri...,Root cause analysisOperational excellenceImage processingAnalyticalMachine learningWorkflowaugmented realitySpanish,1 Day Ago
Fresher,Unifybrains Infotech,,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Should have knowledge of C, C++",ios traineeTrainingIOSIo,30+ Days Ago,Save,Unknown
"Transportation Representative, Transportation Representative",Amazon,4.1,25077,0-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Graduation in any specialization from a recognized university. Demonstrates a proficien...,MatrixTime managementProcess improvementMS OutlookRepresentativeWindowsManagementTroubleshooting,1 Day Ago
Human Resources Coordinator,Radisson Hotel Group,4.0,1895,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Coordinate the onboarding process for new hires, including documentation Maint...",TrainingEmployee engagementHRTeam buildingBuildingTeamResourceHrsd,1 Day Ago
Intern - Industrial Trainee,Inmobi,3.5,182,3 months duration,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Internship,Starts in 1-3 months,Save
Guest Services Associate - Front Office,Marriott,4.2,1253,0-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Arrange transportation for guests / visitors. Count and secure bank at beginning and en...,HousekeepingSupervisorStationLoss preventionFront officeManager Quality AssuranceBillingBanking,1 Day Ago
GUEST SERVICE ASSOCIATE - FRONT OFFICE,Marriott,4.2,1253,0-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Arrange transportation for guests / visitors . Count and secure bank at beginning and e...,HousekeepingSupervisorStationLoss preventionFront officeManager Quality AssuranceBillingBanking,1 Day Ago
Software Developer 1,Oracle,3.7,5203,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Having good communication . Good in Java and Object oriented concepts . Career Level - ...,software architectureBasicSoftware designUsageDebuggingApplication softwareTroubleshootingArchitecture,1 Day Ago
Application Support Engineer,Oracle,3.7,5203,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Familiarity with database technologies, such as SQL or NoSQL, as well as experience wit...",oraclesoftware testingnagiosconfigurationapplication monitoringnosqlsqlplsql,1 Day Ago
PM Retail Banking Fraud - WPB,Capco,3.7,519,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,Delivery excellenceDelivery managementEscalation managementProject managementRetail bankingManagement consultingAgileStakeholder management,12 Days Ago
GN - Strategy - MC - CFO EV Risk and Compliance - RC Consultant,Accenture,3.8,56065,4-7 Yrs,Not disclosed,Mumbai,MBA from Tier-1 B-schools with specialization in risk management and 4-7 years of risk ...,risk managementregulatorypresentation skillsbusiness acumenmarket risk managementrisk complianceproject managementbloomberg,1 Day Ago
